Id	Area	Bedrooms	Bathrooms	Floors	YearBuilt	Location	Condition	Garage	Price
97	1222	3	3	4	2015	Hyderabad	Poor	No	12205233
98	4585	6	5	1	2016	Chennai	Good	No	64596036
99	773	1	1	4	2023	Delhi	Fair	No	13746589
100	2952	3	2	1	2008	Kochi	Very Good	No	33843206
101	848	1	2	1	2021	Pune	Very Good	Yes	14360312
102	3369	5	4	2	2026	Kochi	Fair	No	36011507
103	3309	4	3	1	2002	Mysore	Poor	No	21632474
104	4567	6	5	2	2010	Noida	Fair	Yes	63556900
105	599	2	1	3	2025	Coimbatore	Good	Yes	7378551
106	3798	5	5	3	2008	Chennai	Good	No	46067595
107	4182	6	5	3	2026	Ahmedabad	Good	No	49066188
108	2272	4	4	2	2022	Bangalore	Very Good	No	44547491
109	4525	6	5	3	2011	Mysore	Good	Yes	39613708
110	4176	6	5	4	2004	Jaipur	Very Good	Yes	43729148
111	1208	1	2	3	2013	Coimbatore	Very Good	No	12002707
112	1079	3	3	4	2011	Delhi	Very Good	Yes	24340537
113	1739	2	2	4	1999	Bangalore	Fair	No	24176170
114	1473	3	3	1	2007	Mysore	Fair	No	12369136
115	2261	2	2	2	2010	Jaipur	Good	No	22025172
116	1569	1	1	3	2013	Mumbai	Excellent	Yes	42213633
117	1987	2	1	3	2002	Kochi	Good	No	19752956
118	2399	3	4	3	2019	Noida	Fair	No	37312061
119	3997	6	5	2	2016	Delhi	Good	Yes	78348591
120	3828	5	5	3	2020	Mysore	Excellent	Yes	42636931
121	4623	6	5	2	2024	Mumbai	Good	Yes	105926662
122	4752	6	5	2	2006	Jaipur	Fair	Yes	42313593
123	4442	5	5	1	2003	Delhi	Very Good	No	87426049
124	3175	5	5	1	2025	Coimbatore	Excellent	No	39488991
125	1566	3	4	4	2021	Mumbai	Good	No	39389488
126	4285	6	5	3	2000	Kochi	Fair	No	38668119
127	1171	3	2	2	2004	Bangalore	Excellent	Yes	22629537
128	1470	2	2	2	2019	Noida	Poor	No	20504142
129	1452	2	1	1	2005	Kochi	Very Good	Yes	16210057
130	994	1	1	1	2011	Noida	Good	Yes	15042584
131	1102	2	2	4	2023	Pune	Excellent	Yes	23673320
132	4270	6	5	4	1998	Delhi	Good	No	69248027
133	1817	4	3	2	2002	Bangalore	Good	No	28161417
134	1950	3	4	3	2021	Hyderabad	Good	Yes	24764797
135	2209	4	5	1	2019	Pune	Good	No	35025726
136	1384	1	2	2	2016	Ahmedabad	Good	Yes	15626759
137	562	2	1	4	2021	Bangalore	Very Good	Yes	11927113
138	3626	5	5	1	2020	Delhi	Good	Yes	75076736
139	3362	5	4	3	2015	Bangalore	Good	Yes	52389174
140	1762	3	4	4	2025	Mysore	Very Good	Yes	21089529
141	1987	3	3	2	2007	Delhi	Very Good	Yes	39798377
142	1553	3	3	1	2015	Jaipur	Very Good	Yes	17656403
143	3366	4	4	1	1998	Bangalore	Excellent	Yes	64029586
144	3193	5	5	2	2018	Jaipur	Very Good	Yes	35624975
145	1671	2	1	3	2008	Coimbatore	Excellent	No	18746388
146	2188	3	3	1	2019	Chennai	Good	Yes	27913559
147	1246	2	1	3	2025	Chennai	Fair	Yes	16320777
148	4292	6	5	2	2010	Ahmedabad	Very Good	No	53240610
149	3876	5	5	4	2023	Kochi	Good	Yes	43808439
150	2567	5	4	1	1999	Hyderabad	Fair	Yes	27386514
151	4216	5	4	4	2025	Delhi	Very Good	Yes	86296177
152	760	1	1	3	2014	Noida	Poor	Yes	10478283
153	1410	2	2	3	2022	Jaipur	Fair	No	13488466
154	2817	4	3	3	2016	Jaipur	Very Good	Yes	32741188
155	2485	4	5	1	2006	Jaipur	Fair	No	19606534
156	4623	6	5	4	2026	Coimbatore	Fair	Yes	42361231
157	4742	6	5	3	2011	Kochi	Excellent	Yes	56674685
158	4898	6	5	4	2026	Mumbai	Fair	Yes	109982604
159	4820	6	5	1	2009	Kochi	Good	No	51380370
160	2736	3	3	1	2003	Noida	Good	Yes	37670125
161	3550	5	5	4	2022	Kochi	Very Good	No	41775535
162	2113	3	3	3	2009	Bangalore	Very Good	No	38458036
163	4566	6	5	3	2001	Mumbai	Fair	Yes	93352359
164	4423	6	5	2	2005	Noida	Very Good	Yes	72961127
165	3889	5	5	1	2006	Delhi	Excellent	Yes	86271961
166	802	1	1	2	2012	Mysore	Very Good	Yes	7878161
167	2976	4	4	4	2014	Bangalore	Very Good	Yes	57670564
168	1753	4	4	1	2001	Kochi	Good	No	17651902
169	3057	4	4	4	1999	Kochi	Very Good	No	31014924
170	3213	6	5	1	2005	Hyderabad	Good	Yes	36726455
171	2921	3	2	4	2015	Mumbai	Good	Yes	65857462
172	1605	2	3	4	2000	Hyderabad	Very Good	No	20222049
173	3456	5	5	1	2007	Hyderabad	Good	Yes	40534628
174	2412	2	1	3	2001	Delhi	Excellent	Yes	51612349
175	3135	5	5	3	2002	Mumbai	Very Good	No	67828245
176	4625	6	5	2	2019	Kochi	Good	No	48952190
177	2581	4	5	2	2001	Mumbai	Very Good	No	57033926
178	2589	3	3	1	2004	Ahmedabad	Fair	Yes	22337279
179	2329	2	3	1	2019	Delhi	Good	Yes	47665199
180	2382	3	4	3	2013	Ahmedabad	Fair	No	25455983
181	2856	4	4	3	2026	Kochi	Good	No	33517246
182	588	1	1	4	2010	Mumbai	Good	Yes	13382389
183	2156	2	3	1	2017	Delhi	Very Good	No	45298561
184	2966	4	4	3	1998	Pune	Fair	No	38733807
185	2338	3	2	2	2014	Mumbai	Very Good	No	57279327
186	4297	6	5	4	2010	Hyderabad	Fair	No	46693624
187	598	2	2	1	2023	Mysore	Good	Yes	6933107
188	3568	4	5	2	2023	Mysore	Very Good	Yes	37294001
189	1533	2	3	1	2010	Chennai	Poor	Yes	15822959
190	4888	6	5	3	2026	Coimbatore	Excellent	No	61804147
191	1132	2	2	2	2004	Coimbatore	Poor	No	8144150
192	4494	6	5	1	2018	Bangalore	Fair	Yes	66543525
193	4450	6	5	3	2025	Kochi	Very Good	Yes	54303950
194	809	1	1	2	2004	Ahmedabad	Excellent	Yes	11104522
195	3974	6	5	1	2023	Hyderabad	Good	Yes	52474287
196	1039	1	1	2	2007	Noida	Poor	No	13670578
197	3727	4	4	3	2003	Coimbatore	Excellent	Yes	37567497
198	3681	4	4	1	2009	Mumbai	Good	No	76415137
199	2087	3	2	4	2007	Chennai	Poor	No	22744089
200	679	2	1	4	2011	Noida	Good	No	11163245
201	2338	2	1	4	2026	Chennai	Very Good	No	34400512
202	3243	6	5	1	2000	Chennai	Very Good	No	42439526
203	4808	6	5	1	2000	Chennai	Very Good	Yes	59221388
204	1847	2	3	4	2021	Chennai	Excellent	Yes	32783294
205	1162	2	3	1	2021	Coimbatore	Very Good	No	13152892
206	1854	2	3	1	2007	Chennai	Very Good	No	27275298
207	2138	4	4	4	2005	Mumbai	Very Good	Yes	47967884
208	3956	6	5	4	2016	Jaipur	Very Good	No	40863344
209	1968	3	3	2	2004	Noida	Good	Yes	29128216
210	4717	6	5	2	2001	Coimbatore	Good	No	40768917
211	1190	2	3	2	2024	Delhi	Good	No	25374202
212	1248	1	1	2	2014	Delhi	Very Good	Yes	26730884
213	2708	5	5	2	2020	Jaipur	Good	Yes	26859569
214	2125	3	2	1	2011	Kochi	Good	No	22580145
215	807	1	1	4	2025	Hyderabad	Very Good	Yes	12567312
216	4941	6	5	1	2013	Noida	Good	No	81251724
217	3276	4	5	2	2010	Pune	Fair	No	40111804
218	3879	6	5	2	2000	Pune	Fair	Yes	46976103
219	1573	2	2	2	2001	Ahmedabad	Excellent	Yes	19242672
220	4131	6	5	3	2005	Noida	Very Good	No	63383321
221	3478	5	4	1	2009	Mysore	Good	No	30155778
222	2066	3	3	1	2008	Bangalore	Good	No	32061470
223	799	1	1	3	2009	Pune	Good	No	12130201
224	3195	5	5	4	2001	Hyderabad	Fair	Yes	35478971
225	4405	6	5	1	2004	Chennai	Excellent	Yes	61508397
226	3625	5	4	2	2009	Kochi	Very Good	No	40587585
227	4956	6	5	4	2014	Ahmedabad	Good	No	56214503
228	4495	6	5	1	2008	Jaipur	Poor	Yes	35459392
229	2352	3	3	3	2023	Mysore	Excellent	Yes	26512804
230	690	1	1	1	2015	Bangalore	Very Good	No	12346541
231	2571	4	4	2	2012	Jaipur	Poor	No	21211454
232	4330	6	5	3	2007	Coimbatore	Good	Yes	36513602
233	2498	3	2	2	2000	Noida	Excellent	Yes	43094417
234	4547	6	5	3	2024	Mysore	Poor	Yes	37480165
235	2218	4	5	4	2015	Pune	Excellent	No	41555318
236	3401	5	5	2	2017	Hyderabad	Fair	Yes	36452186
237	623	1	1	3	2017	Hyderabad	Fair	No	7153182
238	4712	6	5	1	2003	Mumbai	Good	No	99111080
239	2963	3	3	1	2003	Bangalore	Very Good	Yes	46333079
240	1303	2	3	1	2000	Coimbatore	Very Good	No	11683030
241	2199	3	3	1	2016	Noida	Very Good	No	41070267
242	4386	6	5	1	1998	Chennai	Very Good	No	54677802
243	3579	6	5	4	2003	Jaipur	Poor	Yes	29337087
244	1605	2	1	4	2013	Chennai	Good	No	19945436
245	4656	6	5	4	2013	Kochi	Fair	No	45747161
246	4429	5	4	1	2015	Mysore	Very Good	Yes	44932034
247	4338	6	5	2	2022	Kochi	Very Good	Yes	48851848
248	621	1	2	4	2011	Jaipur	Poor	Yes	5416316
249	1640	2	1	2	2025	Kochi	Poor	No	15639473
250	1113	1	1	2	2006	Ahmedabad	Very Good	No	12807760
251	4835	6	5	3	2017	Hyderabad	Good	Yes	55566632
252	2613	4	5	1	2004	Mysore	Excellent	No	28195144
253	569	1	1	1	2022	Chennai	Excellent	No	9136022
254	645	1	1	4	2002	Coimbatore	Good	Yes	6454534
255	4710	6	5	1	2009	Bangalore	Good	Yes	77846026
256	4358	6	5	1	2010	Coimbatore	Fair	Yes	35130740
257	4127	5	5	2	2000	Delhi	Good	Yes	72920673
258	4105	6	5	2	2005	Delhi	Good	No	69841006
259	1496	2	2	3	2016	Mysore	Fair	Yes	12735975
260	2148	2	1	2	2016	Ahmedabad	Fair	No	22124415
261	1937	4	4	4	2017	Hyderabad	Very Good	No	27032193
262	3032	5	4	4	2024	Delhi	Good	Yes	61821572
263	2826	3	2	2	2023	Pune	Very Good	No	47120259
264	3055	4	3	1	2023	Ahmedabad	Very Good	No	39314046
265	4963	6	5	3	2013	Bangalore	Very Good	Yes	94857075
266	3017	4	3	2	2005	Kochi	Good	Yes	27820978
267	4094	5	5	4	2017	Mumbai	Very Good	No	111937208
268	805	1	2	1	2014	Delhi	Good	Yes	14766569
269	4302	6	5	4	2007	Mumbai	Good	Yes	97577566
270	2344	3	3	3	2022	Pune	Good	No	36335924
271	4339	6	5	1	2023	Hyderabad	Good	Yes	57519397
272	2245	2	1	4	2004	Noida	Excellent	No	42105413
273	2224	3	2	3	2019	Bangalore	Excellent	Yes	46965933
274	565	1	2	4	1999	Pune	Good	No	9032830
275	2179	4	4	3	2016	Jaipur	Good	No	20984802
276	1100	1	1	4	2003	Pune	Good	Yes	15871359
277	1642	2	3	4	2023	Hyderabad	Good	No	20818454
278	4263	5	5	4	2007	Noida	Fair	No	56779556
279	1034	2	2	2	2024	Pune	Very Good	Yes	20103435
280	699	1	1	2	2003	Hyderabad	Fair	Yes	7624611
281	1491	2	2	2	2015	Delhi	Good	No	27625032
282	2277	3	3	2	2019	Noida	Very Good	Yes	44144656
283	1428	2	2	4	2000	Hyderabad	Very Good	Yes	17027986
284	2269	4	4	2	2001	Noida	Good	No	31881738
285	1398	2	2	4	2006	Ahmedabad	Excellent	No	17791073
286	3517	5	5	3	2003	Coimbatore	Poor	Yes	24997474
287	3419	5	4	3	2001	Kochi	Fair	No	29398958
288	2173	3	4	4	1998	Noida	Very Good	Yes	33470585
289	1187	1	2	4	2010	Hyderabad	Good	Yes	15628008
290	3730	5	4	2	2002	Bangalore	Very Good	No	65917276
291	1601	2	3	1	2010	Pune	Very Good	No	26535955
292	1023	1	1	2	2019	Hyderabad	Good	Yes	13208651
293	1212	2	2	2	1998	Delhi	Good	Yes	19490265
294	1298	3	3	4	2000	Ahmedabad	Fair	Yes	13370745
295	3796	6	5	3	2011	Ahmedabad	Good	Yes	39734462
296	3212	4	5	3	2024	Pune	Very Good	No	56815413
297	2001	3	4	4	2003	Pune	Poor	No	22241916
298	1593	3	2	2	2001	Mumbai	Fair	No	28423599
299	804	1	2	1	2019	Pune	Good	Yes	13412018
300	1711	1	1	2	2016	Coimbatore	Poor	No	12524235
301	2461	3	2	3	2023	Mysore	Fair	No	19791084
302	2568	3	2	1	2008	Pune	Excellent	Yes	47290441
303	711	1	2	3	2023	Delhi	Good	No	15051163
304	2020	3	3	2	2023	Chennai	Good	No	30366563
305	2036	2	2	3	2014	Chennai	Fair	Yes	26041179
306	3764	6	5	3	2003	Mumbai	Good	No	84033598
307	3922	6	5	1	2009	Ahmedabad	Very Good	No	45344778
308	4933	6	5	3	2015	Delhi	Fair	Yes	82565314
309	662	1	2	3	2011	Noida	Good	No	10317473
310	2728	3	3	2	1999	Hyderabad	Good	No	28049208
311	1658	3	3	4	2002	Ahmedabad	Fair	No	16601799
312	4333	6	5	1	1999	Jaipur	Excellent	No	45194156
313	3781	5	5	4	2006	Pune	Excellent	No	62680790
314	4702	6	5	2	2012	Bangalore	Excellent	No	91018521
315	4933	6	5	4	2003	Mumbai	Good	No	98228214
316	2773	5	4	3	2004	Chennai	Good	Yes	32421078
317	734	2	3	1	2013	Coimbatore	Good	Yes	8275233
318	2630	3	4	3	2002	Chennai	Very Good	Yes	36267534
319	866	1	1	4	2023	Chennai	Fair	No	11612875
320	1204	2	1	2	2009	Pune	Good	No	18331154
321	2211	4	4	1	2007	Mumbai	Good	Yes	49388462
322	3368	6	5	3	2014	Mysore	Fair	No	26631849
323	1271	1	1	1	2011	Mysore	Excellent	No	13145482
324	2917	4	3	4	1999	Kochi	Very Good	Yes	32015262
325	2411	4	5	3	2020	Bangalore	Good	Yes	41353434
326	844	1	1	3	2016	Mumbai	Good	Yes	20894776
327	4005	6	5	4	2017	Mysore	Poor	No	27773125
328	3151	4	5	4	2001	Jaipur	Good	No	26613203
329	2614	5	5	1	2012	Ahmedabad	Good	No	28119226
330	2156	2	2	2	2002	Mysore	Good	Yes	17014935
331	4203	6	5	3	2020	Ahmedabad	Excellent	No	56612523
332	4083	5	4	1	2018	Mysore	Good	Yes	35470000
333	3545	6	5	4	2024	Kochi	Fair	Yes	36381651
334	3577	6	5	3	2025	Chennai	Poor	Yes	42767704
335	4904	6	5	4	1999	Delhi	Good	No	83022602
336	1158	2	3	3	1999	Ahmedabad	Good	No	12794981
337	883	1	1	4	1999	Pune	Good	Yes	12408351
338	1476	3	3	4	2010	Ahmedabad	Very Good	Yes	17177138
339	1491	2	1	2	2016	Kochi	Good	Yes	16235443
340	1281	2	2	4	2021	Noida	Excellent	No	25923058
341	3720	5	4	1	2000	Chennai	Good	No	46382844
342	4095	6	5	3	2019	Delhi	Very Good	Yes	82261466
343	3007	4	4	2	2008	Jaipur	Excellent	No	31872518
344	2216	2	1	3	2003	Chennai	Good	No	28505833
345	1449	2	3	4	2019	Ahmedabad	Fair	Yes	15895756
346	3216	5	5	3	2007	Mumbai	Fair	No	61555307
347	1464	2	2	2	1998	Mysore	Fair	Yes	12149926
348	766	2	1	3	2025	Mumbai	Very Good	No	20122982
349	2582	5	5	3	2004	Bangalore	Poor	Yes	35048919
350	4927	6	5	3	2001	Kochi	Good	No	47235602
351	1097	2	3	2	2025	Ahmedabad	Good	No	13195870
352	4109	6	5	2	2015	Kochi	Good	Yes	43154874
353	2523	4	5	4	2010	Mumbai	Very Good	Yes	59193273
354	3278	4	3	3	2020	Coimbatore	Good	No	34347010
355	2511	4	4	1	2020	Mumbai	Good	Yes	64559133
356	1715	2	1	1	2019	Mumbai	Good	Yes	38248382
357	2924	4	5	4	2018	Mumbai	Fair	Yes	64453023
358	3366	4	5	2	2008	Mysore	Good	No	29599853
359	3775	4	4	1	2015	Bangalore	Very Good	No	64003013
360	3653	5	5	3	2025	Bangalore	Good	No	64502716
361	3091	3	3	2	2002	Ahmedabad	Good	Yes	29837471
362	4026	6	5	2	2004	Jaipur	Good	No	38780719
363	2964	4	4	3	2000	Mumbai	Good	No	58505730
364	2686	5	5	4	2017	Delhi	Good	No	50084297
365	2395	3	2	1	2019	Mysore	Fair	Yes	19174947
366	896	2	1	1	2004	Bangalore	Poor	Yes	11730049
367	781	1	2	1	2020	Coimbatore	Excellent	Yes	10340564
368	2380	4	4	3	2001	Delhi	Good	No	43813151
369	521	1	1	4	2024	Kochi	Very Good	No	7082219
370	2448	3	2	2	2016	Noida	Excellent	Yes	48241922
371	4224	5	5	3	2009	Jaipur	Very Good	No	46050523
372	2266	2	3	3	2014	Pune	Excellent	No	38354399
373	3251	5	5	2	2006	Delhi	Good	No	54871594
374	2420	4	4	4	2010	Chennai	Very Good	Yes	36887187
375	2877	4	5	2	2020	Jaipur	Good	Yes	30156279
376	1373	1	1	4	2004	Coimbatore	Good	Yes	13116420
377	1027	1	1	2	1998	Hyderabad	Very Good	No	12845979
378	3925	6	5	2	2016	Ahmedabad	Poor	No	34956074
379	3691	5	5	4	2021	Coimbatore	Very Good	No	37783960
380	4206	6	5	1	2022	Delhi	Good	Yes	78678085
381	1478	1	1	2	2013	Delhi	Fair	Yes	25907762
382	2375	2	2	2	2026	Jaipur	Fair	Yes	21169375
383	4751	6	5	4	2008	Kochi	Fair	No	41066797
384	1040	1	1	2	2015	Delhi	Good	No	20675896
385	2346	3	3	2	2025	Mysore	Good	No	22698830
386	2181	3	4	4	2015	Delhi	Very Good	Yes	42815603
387	884	1	1	4	2013	Mumbai	Good	No	19080869
388	3957	6	5	2	2000	Bangalore	Very Good	No	67211109
389	2147	3	4	3	2010	Pune	Good	No	30652851
390	1015	2	2	1	2019	Pune	Good	Yes	16713633
391	551	2	2	1	1998	Ahmedabad	Very Good	No	6816064
392	2607	4	4	2	2026	Kochi	Very Good	No	31432750
393	2033	3	3	3	2016	Delhi	Excellent	No	48335514
394	2857	4	4	1	2010	Mysore	Good	Yes	26470770
395	2635	4	5	4	2002	Pune	Poor	Yes	29867023
396	2412	4	3	1	2022	Jaipur	Fair	Yes	21021062
397	537	1	2	1	2006	Hyderabad	Very Good	No	7368484
398	2310	2	3	4	2017	Ahmedabad	Very Good	No	29061788
399	2773	5	5	2	2021	Kochi	Good	Yes	31662527
400	3721	5	5	3	2012	Chennai	Very Good	No	49605350
401	1182	2	1	4	2022	Noida	Excellent	No	23545632
402	578	1	1	4	1999	Jaipur	Very Good	No	6575135
403	705	1	1	3	2014	Mumbai	Very Good	No	17815785
404	4650	6	5	1	2001	Chennai	Very Good	No	59857770
405	1725	2	2	4	2001	Pune	Good	No	22507382
406	4755	6	5	1	2008	Chennai	Good	Yes	61604449
407	3692	6	5	4	2002	Jaipur	Very Good	Yes	34369326
408	2647	4	3	3	2021	Kochi	Good	No	29250885
409	1488	1	1	3	2020	Mysore	Good	Yes	13550798
410	2146	4	4	3	2013	Mysore	Good	Yes	18794695
411	3631	6	5	3	2010	Bangalore	Good	No	62812399
412	2994	5	5	2	2025	Chennai	Good	No	41772301
413	2381	3	3	2	2009	Jaipur	Excellent	Yes	29003267
414	2212	3	3	1	2026	Kochi	Fair	No	21767239
415	2970	4	4	4	2024	Kochi	Good	No	34884315
416	4760	6	5	3	2021	Mysore	Very Good	Yes	51753740
417	1248	2	1	3	2000	Kochi	Good	Yes	12370039
418	4187	5	5	1	2002	Mumbai	Good	No	86371377
419	1054	1	1	1	1998	Chennai	Good	No	12879560
420	2083	3	4	4	2022	Noida	Poor	Yes	27755685
421	2281	4	3	1	2020	Ahmedabad	Very Good	No	26041301
422	1777	4	3	1	2017	Noida	Poor	Yes	23755795
423	4839	6	5	2	2020	Mumbai	Very Good	Yes	118487072
424	4928	6	5	1	2009	Noida	Fair	No	69638827
425	2391	2	3	3	2020	Noida	Good	Yes	36833982
426	1909	2	2	2	2009	Noida	Very Good	Yes	34577564
427	1194	2	2	3	2021	Kochi	Good	No	12360491
428	946	1	1	2	2007	Ahmedabad	Very Good	Yes	10880823
429	3092	3	3	3	2015	Kochi	Poor	Yes	26062715
430	4359	6	5	1	2021	Mysore	Good	No	40285185
431	3896	6	5	1	2011	Chennai	Very Good	Yes	57237773
432	1719	2	2	4	2017	Delhi	Good	Yes	33317981
433	2768	4	5	4	2015	Kochi	Good	No	27946255
434	761	2	2	4	2016	Delhi	Good	Yes	14991512
435	1221	3	4	1	2007	Noida	Very Good	Yes	21837567
436	1724	1	1	2	2002	Pune	Excellent	No	26590253
437	2611	4	5	3	2022	Pune	Good	No	44998577
438	1421	3	2	4	2019	Hyderabad	Good	No	19146507
439	4770	6	5	3	2008	Hyderabad	Very Good	Yes	57002117
440	2354	2	2	2	2017	Delhi	Fair	Yes	41397085
441	3897	6	5	3	2025	Ahmedabad	Excellent	No	52345490
442	2689	4	5	4	2009	Kochi	Good	No	27552762
443	3996	6	5	1	2013	Bangalore	Very Good	No	73184430
444	1739	1	1	1	2011	Coimbatore	Excellent	No	18647244
445	3357	6	5	2	2004	Noida	Good	No	51829801
446	1954	2	1	2	2010	Jaipur	Very Good	No	19623473
447	2472	4	4	2	2013	Noida	Very Good	Yes	41450871
448	3757	4	4	2	2006	Jaipur	Poor	Yes	27287628
449	528	1	1	4	2011	Mysore	Fair	Yes	5299587
450	2655	4	4	2	2011	Coimbatore	Good	No	25794518
451	1487	1	2	3	2003	Bangalore	Very Good	Yes	26260798
452	3401	6	5	4	2011	Pune	Good	No	47708383
453	3468	6	5	4	2025	Chennai	Good	Yes	48818830
454	1208	1	1	3	2007	Kochi	Good	Yes	12429557
455	2153	2	1	3	2013	Chennai	Fair	Yes	24304234
456	1219	2	3	4	2022	Ahmedabad	Good	Yes	15647543
457	2137	4	5	3	2005	Noida	Good	No	32100910
458	2850	3	2	2	2003	Hyderabad	Good	Yes	34077352
